COUNTRY_CODE,MEAN,GAIN,PCT_GAIN,COUNTRY_NAME
EAR,60.22007,24.882828,53.0399,Early-demographic dividend
EAS,67.14577,34.95166,83.801346,East Asia & Pacific
ECA,67.96883,13.898266,22.823689,Europe & Central Asia (excluding high income)
ECS,72.49762,10.965881,16.265123,Europe & Central Asia
ECU,67.61634,23.995998,44.939693,Ecuador
EGY,60.760345,27.197002,61.20488,"Egypt, Arab Rep."
EMU,76.17438,12.9305725,18.66843,Euro area
ERI,51.352722,31.181,83.27591,Eritrea
ESP,77.20433,14.773659,21.377247,Spain
EST,71.64844,9.740974,14.16884,Estonia
ETH,49.311672,27.7,69.923004,Ethiopia
EUU,75.36813,12.345703,17.87494,European Union
FCS,54.281662,17.234753,37.373264,Fragile and conflict affected situations
FIN,75.57919,12.865608,18.694643,Finland
FJI,64.25679,8.714001,14.869801,Fiji
FRA,76.84268,13.060974,18.693707,France
FRO,77.55011,11.03598,15.304809,Faroe Islands
FSM,62.827374,13.002998,23.992985,"Micronesia, Fed. Sts."
GAB,59.55447,21.893997,47.14165,Gabon
GBR,76.20357,10.111267,14.215827,United Kingdom
GEO,68.829056,13.149002,21.433813,Georgia
GHA,55.371033,18.556,39.52963,Ghana
GIB,77.15092,13.344002,19.006113,Gibraltar
GIN,48.260513,24.117,65.85206,Guinea
GMB,51.2522,31.286,90.48996,"Gambia, The"
GNB,48.148266,26.530998,70.6476,Guinea-Bissau
GNQ,50.83555,20.965,49.050114,Equatorial Guinea
GRC,76.62854,11.102264,15.762578,Greece
GRD,70.56541,12.061001,19.100786,Grenada
GRL,65.77793,12.997517,22.198154,Greenland
GTM,60.747078,26.842,58.65822,Guatemala
GUM,72.118675,14.327,22.783943,Guam
GUY,62.966812,12.670002,22.030956,Guyana
HIC,74.58764,11.813416,17.28713,High income
HKG,77.45738,19.550194,29.758068,"Hong Kong SAR, China"
HND,63.251328,25.735004,54.58229,Honduras
HPC,51.33485,23.916866,58.62115,Heavily indebted poor countries (HIPC)
HRV,72.55208,12.726677,19.357195,Croatia
