LON,LAT,Full_Address,Place,Road,Neighbourhood,Suburb,City
-73.60311144998084,45.52781941006811,"Skatepark du Mile-End, Rue Cloutier, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 1T3, Canada",Rue Cloutier,Rue Cloutier,Mile-End,Le Plateau-Mont-Royal,Montréal
-73.59116399999857,45.508615999999286,"Parc du Mont-Royal, Avenue du Docteur-Penfield, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3G 1B3, Canada",Avenue du Docteur-Penfield,Avenue du Docteur-Penfield,,Ville-Marie,Montréal
-73.64662000001287,45.55773000000044,"Rue de Louvain Est, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2M 1Z5, Canada",Rue de Louvain Est,Rue de Louvain Est,Ahuntsic,Ahuntsic-Cartierville,Montréal
-73.55404000000838,45.51696799998849,"1120, Boulevard René-Lévesque Est, Village gai, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2L 4S5, Canada",Boulevard René-Lévesque Est,Boulevard René-Lévesque Est,Village gai,Ville-Marie,Montréal
-73.65503289994655,45.551457999980464,"9675, Rue Lajeunesse, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3L 2B8, Canada",Rue Lajeunesse,Rue Lajeunesse,Ahuntsic,Ahuntsic-Cartierville,Montréal
-73.57602693495014,45.520856410100826,"Rue Saint-Denis, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2W 2M7, Canada",Rue Saint-Denis,Rue Saint-Denis,,Le Plateau-Mont-Royal,Montréal
-73.55778362489185,45.50624999998413,"44, Rue Saint-Antoine Ouest, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2Y 2X6, Canada",Rue Saint-Antoine Ouest,Rue Saint-Antoine Ouest,Vieux-Montréal,Ville-Marie,Montréal
-73.56190507483095,45.543276410069176,"CLSC de Rosemont, 2909, Rue Rachel Est, Rosemont, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1W 0A9, Canada",CLSC de Rosemont,Rue Rachel Est,Rosemont,Rosemont–La Petite-Patrie,Montréal
-73.59711507486745,45.53052641007357,"Rue Saint-Denis, La Petite-Patrie, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2S 1Z3, Canada",Rue Saint-Denis,Rue Saint-Denis,La Petite-Patrie,Rosemont–La Petite-Patrie,Montréal
-73.48325144999102,45.70089541009982,"Route Verte 5, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1A 1Z5, Canada",Route Verte 5,Route Verte 5,Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Montréal
-73.60750434987388,45.51489999998093,"Chemin de la Côte-Sainte-Catherine, Outremont, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2V 1X8, Canada",Chemin de la Côte-Sainte-Catherine,Chemin de la Côte-Sainte-Catherine,,Outremont,Montréal
-73.6168700000223,45.539050000014846,"Rue Saint-Denis, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2R 2H4, Canada",Rue Saint-Denis,Rue Saint-Denis,Villeray,Villeray–Saint-Michel–Parc-Extension,Montréal
-73.53881620990984,45.55508399999383,"2035, Avenue Bennett, Maisonneuve, Hochelaga-Maisonneuve, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1V 2T4, Canada",Avenue Bennett,Avenue Bennett,Maisonneuve,Mercier–Hochelaga-Maisonneuve,Montréal
-73.57431999997455,45.527496000022275,"4260,4262, Rue de Brébeuf, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2J 3K7, Canada",Rue de Brébeuf,Rue de Brébeuf,,Le Plateau-Mont-Royal,Montréal
-73.54238548496056,45.54684399999691,"1851, Avenue Valois, Hochelaga, Hochelaga-Maisonneuve, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1W 1S4, Canada",Avenue Valois,Avenue Valois,Hochelaga,Mercier–Hochelaga-Maisonneuve,Montréal
-73.51000507487976,45.59192899998931,"Rue Notre-Dame Est, Mercier-Est, Mercier, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1L 6M9, Canada",Rue Notre-Dame Est,Rue Notre-Dame Est,Mercier-Est,Mercier–Hochelaga-Maisonneuve,Montréal
-73.65644144999231,45.55089399999132,"9800, Rue Berri, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3L 2K1, Canada",Rue Berri,Rue Berri,Ahuntsic,Ahuntsic-Cartierville,Montréal
-73.58104322631594,45.555462528950514,"Rue de Bellechasse, Rosemont, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1X 2Y6, Canada",Rue de Bellechasse,Rue de Bellechasse,Rosemont,Rosemont–La Petite-Patrie,Montréal
